source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,potency_um,cytotox_median_um,cytotox_lower_bound_um,nhit,ntested,dtxsid,casrn,name,assay_description
ToxCast,off-target-safety,23700088,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)[O-].[Na+],C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)[O-].[Na+],C10H9Cl2NaO3,271.07,0,1000.0,burst_median_AC50,uM,0,69,1000.0,1000.0,1000.0,0,69,DTXSID5041356,10433-59-7,"2,4-DB-sodium","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23700091,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[K+],C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[K+],C12H9KO2,224.3,1,1000.0,burst_median_AC50,uM,1,69,1000.0,1000.0,1000.0,1,69,DTXSID2034833,15165-79-4,Potassium 1-naphthaleneacetate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23702994,CC1C=CC=C(C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])C.[Na+],C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])/C.[Na+],C37H46NNaO12,719.7,1,52.6632031422782,burst_median_AC50,uM,27,63,52.6632031422782,52.6632031422782,9.35859221810689,27,63,DTXSID0040208,14897-39-3,Rifamycin SV sodium salt,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23703979,CC1=CC(=C(C=C1N=NC2=CC=C(C=C2)S(=O)(=O)[O-])OC)N=NC3=CC=C(C=C3)OC.[Na+],CC1=CC(=C(C=C1N=NC2=CC=C(C=C2)S(=O)(=O)[O-])OC)N=NC3=CC=C(C=C3)OC.[Na+],C21H19N4NaO5S,462.5,1,56.7545560003866,burst_median_AC50,uM,18,71,56.7545560003866,56.7545560003866,10.0856521144823,18,71,DTXSID7044718,68555-86-2,C.I. Acid Orange 156,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23703990,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].[Na+],CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].[Na+],C42H69NaO11,773.0,1,6.20355708278668,burst_median_AC50,uM,5,13,6.20355708278668,6.20355708278668,1.1024122646452,5,13,DTXSID1045902,55721-31-8,Salinomycin sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23714647,[Li+].C1C2N(C1=O)C(C(=CCO)O2)C(=O)[O-],[Li+].C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)[O-],C8H8LiNO5,205.1,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID0046012,61177-44-4,Clavulanate lithium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23716429,CCCCCCC(CC=CCCCCCCCC(=O)[O-])O.[K+],CCCCCC[C@H](C/C=C\CCCCCCCC(=O)[O-])O.[K+],C18H33KO3,336.6,1,29.0906996494131,burst_median_AC50,uM,4,14,29.0906996494131,29.0906996494131,5.16960570405793,4,14,DTXSID5042322,7492-30-0,Potassium ricinoleate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23724801,C1CCN(CC1)CCOC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O.Cl,C1CCN(CC1)CCOC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O.Cl,C21H26ClNO3,375.9,1,40.8985075096185,burst_median_AC50,uM,1,14,40.8985075096185,40.8985075096185,7.2679296220861,1,14,DTXSID2047850,4544-15-4,Piperilate hydrochloride,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23724912,C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)[O-].O.[Na+],C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)[O-].O.[Na+],C15H12NNaO4,293.25,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID8045226,85666-17-7,Furegrelate sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,24721009,CCCN(CCC)CCC1=CNC2=CC=CC=C21.Cl,CCCN(CCC)CCC1=CNC2=CC=CC=C21.Cl,C16H25ClN2,280.83,1,41.2555696008826,burst_median_AC50,uM,7,69,41.2555696008826,41.2555696008826,7.33138186785356,7,69,DTXSID5048897,7558-73-8,"N,N-Dipropyltryptamine hydrochloride","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,24825758,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,CC[C@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)[C@@H](C)O,C53H100N16O13,1169.5,1,38.6438242571408,burst_median_AC50,uM,1,14,38.6438242571408,38.6438242571408,6.86725780795573,1,14,DTXSID5049079,7722-44-3,Colistin A,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,24866733,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O.Cl,C1CC2=C(C=CC(=C2)F)O[C@H]1[C@@H](CNC[C@H]([C@@H]3CCC4=C(O3)C=CC(=C4)F)O)O.Cl,C22H26ClF2NO4,441.9,1,26.052333971704,burst_median_AC50,uM,59,69,26.052333971704,26.052333971704,4.62966844824098,59,69,DTXSID1049065,169293-50-9,rac Nebivolol hydrochloride,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
